date,balance,total_value,positions,avg_prices
2020-02-27,99904.69078866577,99998.90578500366,{'AMZN': 1},{'AMZN': 94.30921133422851}
2020-02-28,99715.12741366577,99997.68991366577,{'AMZN': 3},{'AMZN': 94.29086211140948}
2020-03-02,99518.53701438905,100007.0245250702,{'AMZN': 5},{'AMZN': 95.69259712219237}
2020-03-03,99326.44711331178,99994.59362057496,{'AMZN': 7},{'AMZN': 95.65041238403319}
2020-03-04,99127.66653776552,100016.79000425721,{'AMZN': 9},{'AMZN': 96.37038469272187}
2020-03-05,98934.07113488771,99992.28763421632,{'AMZN': 11},{'AMZN': 96.35716955566404}
2020-03-06,98742.77203236391,99978.48049031069,{'AMZN': 13},{'AMZN': 96.17138212585448}
2020-03-09,98561.5309667206,99911.98850151064,{'AMZN': 15},{'AMZN': 95.36460221862791}
2020-03-10,98371.15977787782,99979.20683598329,{'AMZN': 17},{'AMZN': 95.28471894836423}
2020-03-11,98187.89169334414,99917.70867942812,{'AMZN': 19},{'AMZN': 94.84780561346753}
2020-03-12,98019.06303686525,99779.50348944093,{'AMZN': 21},{'AMZN': 93.80652205403642}
2020-03-13,97839.38453686525,99892.13453686525,{'AMZN': 23},{'AMZN': 93.418063614555}
2020-03-16,97669.30062858584,99780.7380446625,{'AMZN': 25},{'AMZN': 92.70797485656736}
2020-03-17,97487.33584800723,99927.91980186466,{'AMZN': 27},{'AMZN': 92.54311674047396}
2020-03-18,97303.15284800723,99956.65284800723,{'AMZN': 29},{'AMZN': 92.47748799975162}
2020-03-19,97113.87175268558,100029.31328863528,{'AMZN': 31},{'AMZN': 92.58478217143394}
2020-03-20,97020.47495142368,99974.21884790805,{'AMZN': 32},{'AMZN': 92.57890776801108}
2020-03-26,97117.15167491153,100148.16111247256,{'AMZN': 31},{'AMZN': 92.57890776801108}
2020-03-27,97211.06166716768,100061.21158477022,{'AMZN': 30},{'AMZN': 92.57890776801108}
2020-03-30,97308.16097180177,100155.88853375246,{'AMZN': 29},{'AMZN': 92.57890776801108}
2020-03-31,97404.54948586275,100134.15748757173,{'AMZN': 28},{'AMZN': 92.57890776801108}
2020-04-01,97498.83910299685,100074.23416067507,{'AMZN': 27},{'AMZN': 92.57890776801108}
2020-04-02,97593.68465930178,100088.16360217288,{'AMZN': 26},{'AMZN': 92.57890776801108}
2020-04-03,97687.91882809451,100071.1562853699,{'AMZN': 25},{'AMZN': 92.57890776801108}
2020-04-06,97786.69844993594,100183.8064821625,{'AMZN': 24},{'AMZN': 92.57890776801108}
2020-04-07,97886.17787176516,100199.51791387942,{'AMZN': 23},{'AMZN': 92.57890776801108}
2020-04-08,98089.27357481387,100234.42360685732,{'AMZN': 21},{'AMZN': 92.57890776801108}
2020-04-09,98292.34529978945,100232.9673090668,{'AMZN': 19},{'AMZN': 92.57890776801108}
2020-04-13,98508.01540620424,100351.55485017397,{'AMZN': 17},{'AMZN': 92.57890776801108}
2020-04-14,98735.11907493594,100447.6090804291,{'AMZN': 15},{'AMZN': 92.57890776801108}
2020-04-15,99079.92493098452,100464.53296321108,{'AMZN': 12},{'AMZN': 92.57890776801108}
2020-04-16,99439.79220285037,100523.477703949,{'AMZN': 9},{'AMZN': 92.57890776801108}
2020-04-17,99794.68595285037,100507.18595285037,{'AMZN': 6},{'AMZN': 92.57890776801108}
2020-04-20,100152.36840000919,100511.40988865665,{'AMZN': 3},{'AMZN': 92.57890776801108}
2020-04-21,100500.23717670444,100500.23717670444,{},{}
2020-09-10,100340.32292804722,100499.07842121128,{'AMZN': 1},{'AMZN': 158.91424865722655}
2020-09-11,100027.3892967606,100494.82231067661,{'AMZN': 3},{'AMZN': 156.94929331461586}
2020-09-14,99715.78200269322,100491.524495369,{'AMZN': 5},{'AMZN': 156.2910348022461}
2020-09-15,99398.85338309483,100503.49890616612,{'AMZN': 7},{'AMZN': 156.7691133728027}
2020-09-16,98935.6766717606,100474.72665955356,{'AMZN': 10},{'AMZN': 155.95605049438475}
2020-09-17,98482.91588352207,100438.59029148106,{'AMZN': 13},{'AMZN': 154.71702255249022}
2020-09-18,98038.23615105443,100402.16412957005,{'AMZN': 16},{'AMZN': 153.4375641031265}
2020-09-21,97592.72158495335,100405.16805712132,{'AMZN': 19},{'AMZN': 152.6060837763736}
2020-09-22,97121.90375624852,100563.79261122899,{'AMZN': 22},{'AMZN': 153.1515191116333}
2020-09-23,96670.47478861241,100420.29969400792,{'AMZN': 25},{'AMZN': 152.79049552368164}
2020-09-24,96216.05331424717,100443.75936893467,{'AMZN': 28},{'AMZN': 152.61370937347414}
2020-09-25,95905.23080075839,100547.92580808261,{'AMZN': 30},{'AMZN': 152.7668791982015}
2020-09-28,95586.50839698032,100664.98837744907,{'AMZN': 32},{'AMZN': 153.1477743663788}
2020-09-29,95428.10714968113,100617.15925844578,{'AMZN': 33},{'AMZN': 153.27666748555504}
2020-10-02,95583.20089968113,100583.20089968113,{'AMZN': 32},{'AMZN': 153.27666748555504}
2020-10-05,95742.00094638829,100700.76115451817,{'AMZN': 31},{'AMZN': 153.27666748555504}
2020-10-06,95895.84394948582,100545.7839824448,{'AMZN': 30},{'AMZN': 153.27666748555504}
2020-10-07,96054.46866510776,100688.2191686478,{'AMZN': 29},{'AMZN': 153.27666748555504}
2020-10-08,96212.83663394932,100679.60653141026,{'AMZN': 28},{'AMZN': 153.27666748555504}
2020-10-09,96376.00480571752,100812.98242107396,{'AMZN': 27},{'AMZN': 153.27666748555504}
2020-10-12,96718.95351198582,101022.61600283055,{'AMZN': 25},{'AMZN': 153.27666748555504}
2020-10-13,97233.98147736363,101021.9745498734,{'AMZN': 22},{'AMZN': 153.27666748555504}
2020-10-14,97737.03342415624,100932.55794503026,{'AMZN': 19},{'AMZN': 153.27666748555504}
2020-10-15,98236.33011202245,100907.25003389745,{'AMZN': 16},{'AMZN': 153.27666748555504}
2020-10-16,98725.74569966893,100853.0071742783,{'AMZN': 13},{'AMZN': 153.27666748555504}
2020-10-19,99045.1459869614,100809.1115326157,{'AMZN': 11},{'AMZN': 153.27666748555504}
2020-10-20,99204.83563085178,100813.34057469944,{'AMZN': 10},{'AMZN': 153.27666748555504}
2020-10-30,99051.87632823948,100721.75877452854,{'AMZN': 11},{'AMZN': 153.15690704253228}
2020-11-02,98750.12788219456,100703.03986949925,{'AMZN': 13},{'AMZN': 152.72880180867514}
2020-11-03,98443.98203777317,100730.28956340793,{'AMZN': 15},{'AMZN': 152.7080178622776}
2020-11-04,98118.5419244614,100873.52790163425,{'AMZN': 17},{'AMZN': 153.82708124976065}
2020-11-05,97785.00971224216,100940.90982820895,{'AMZN': 19},{'AMZN': 155.1364522876405}
2020-11-06,97618.27564704136,100929.64558112339,{'AMZN': 20},{'AMZN': 155.66633293329875}
2020-11-13,97460.67870055394,100745.92932616429,{'AMZN': 21},{'AMZN': 155.7106478644477}
2020-11-16,97302.96915378574,100747.13501682285,{'AMZN': 22},{'AMZN': 155.7560523600723}
2020-12-07,97459.71124768833,100775.6111195145,{'AMZN': 21},{'AMZN': 155.7560523600723}
2020-12-22,97618.87692571263,100825.39700627903,{'AMZN': 20},{'AMZN': 155.7560523600723}
2020-12-29,97783.81083181004,100939.71094777684,{'AMZN': 19},{'AMZN': 155.7560523600723}
2020-12-30,97946.93903504185,100904.20395813756,{'AMZN': 18},{'AMZN': 155.7560523600723}
2020-12-31,98108.62268512731,100877.01312702184,{'AMZN': 17},{'AMZN': 155.7560523600723}
2021-01-04,98266.7948508225,100816.09880590062,{'AMZN': 16},{'AMZN': 155.7560523600723}
2021-01-05,98426.5594319077,100840.44203078466,{'AMZN': 15},{'AMZN': 155.7560523600723}
2021-01-12,98269.36188649754,100766.02594899754,{'AMZN': 16},{'AMZN': 155.78364567570253}
2021-01-13,98109.90909737401,100800.91550606542,{'AMZN': 17},{'AMZN': 155.94065411381033}
2021-01-14,97952.3792192307,100767.1023027268,{'AMZN': 18},{'AMZN': 155.9733887821159}
2021-01-15,97796.01151284033,100745.04889687353,{'AMZN': 19},{'AMZN': 155.94151076149828}
2021-01-19,97638.81748046118,100759.57736815649,{'AMZN': 20},{'AMZN': 155.9541368423809}
2021-01-25,97802.35277741247,100931.65271942907,{'AMZN': 19},{'AMZN': 155.9541368423809}
2021-01-26,98133.63317099767,100960.84372702794,{'AMZN': 17},{'AMZN': 155.9541368423809}
2021-01-27,98294.1005398026,100880.16450464635,{'AMZN': 16},{'AMZN': 155.9541368423809}
2021-01-28,98454.81965551,100883.03460607152,{'AMZN': 15},{'AMZN': 155.9541368423809}
2021-01-29,98613.96934307103,100858.30930889134,{'AMZN': 14},{'AMZN': 155.9541368423809}
2021-02-01,98779.94619626622,100952.8181597672,{'AMZN': 13},{'AMZN': 155.9541368423809}
2021-02-02,98947.77719626622,100975.77719626622,{'AMZN': 12},{'AMZN': 155.9541368423809}
2021-02-03,99112.23806513219,100934.1295141068,{'AMZN': 11},{'AMZN': 155.9541368423809}
2021-02-04,99444.0049712296,100942.95499869542,{'AMZN': 9},{'AMZN': 155.9541368423809}
2021-02-05,99777.88475257116,100951.13723975378,{'AMZN': 7},{'AMZN': 155.9541368423809}
2021-02-08,100108.84646491247,100939.5814807816,{'AMZN': 5},{'AMZN': 155.9541368423809}
2021-02-09,100272.93121491246,100933.93121491246,{'AMZN': 4},{'AMZN': 155.9541368423809}
2021-02-10,100436.09588066868,100929.08286492161,{'AMZN': 3},{'AMZN': 155.9541368423809}
2021-02-24,100276.96140270238,100908.86740856175,{'AMZN': 4},{'AMZN': 156.4992221233628}
2021-02-25,99969.93968328099,100887.0876935349,{'AMZN': 6},{'AMZN': 155.336434652473}
2021-02-26,99659.33739101414,100896.50938808445,{'AMZN': 8},{'AMZN': 155.20261252271047}
2021-03-01,99343.4087633286,100916.47883168797,{'AMZN': 10},{'AMZN': 155.65495278672307}
2021-03-02,99032.64630739597,100889.3643249741,{'AMZN': 12},{'AMZN': 155.52599864998732}
2021-03-03,98730.84580739598,100834.34580739598,{'AMZN': 14},{'AMZN': 154.79374884284627}
