date,balance,total_value,positions,avg_prices
2020-02-27,99933.57909941101,99998.93464445496,{'GOOGL': 1},{'GOOGL': 65.42090058898926}
2020-02-28,99799.31937063599,99999.00927389527,{'GOOGL': 3},{'GOOGL': 66.22687645467123}
2020-03-02,99660.37603837586,100004.88985520936,{'GOOGL': 5},{'GOOGL': 67.3247923248291}
2020-03-03,99526.26854603578,99991.6793584137,{'GOOGL': 7},{'GOOGL': 67.10449342346192}
2020-03-04,99387.79487547303,100005.80837950135,{'GOOGL': 9},{'GOOGL': 67.46723605855306}
2020-03-05,99255.9719835663,99974.77908195497,{'GOOGL': 11},{'GOOGL': 67.0934560394287}
2020-03-06,99126.0416531067,99963.25159115602,{'GOOGL': 13},{'GOOGL': 66.68910360717771}
2020-03-09,99004.06660427095,99910.4730640793,{'GOOGL': 15},{'GOOGL': 65.86222638193765}
2020-03-10,98876.18304968263,99953.61583090211,{'GOOGL': 17},{'GOOGL': 65.57746766572839}
2020-03-11,98754.69457091524,99898.19162215425,{'GOOGL': 19},{'GOOGL': 65.01607521498829}
2020-03-12,98643.09173848726,99803.26130941011,{'GOOGL': 21},{'GOOGL': 64.09086959584553}
2020-03-13,98521.2679256363,99909.35368766023,{'GOOGL': 23},{'GOOGL': 63.77095975494384}
2020-03-16,98413.50094121553,99746.75499242403,{'GOOGL': 25},{'GOOGL': 62.93996235137939}
2020-03-17,98245.62504547503,99801.57745331194,{'GOOGL': 28},{'GOOGL': 62.15624837589264}
2020-03-18,98081.75961829379,99763.02110434725,{'GOOGL': 31},{'GOOGL': 61.394851022781864}
2020-03-19,97970.14484919742,99793.46521891787,{'GOOGL': 33},{'GOOGL': 61.02591366068521}
2020-03-20,97862.85448380282,99721.07765503695,{'GOOGL': 35},{'GOOGL': 60.57558617706298}
2020-03-23,97756.96513044741,99695.4796529999,{'GOOGL': 37},{'GOOGL': 60.13607755547601}
2020-03-24,97643.52545629886,99833.90871893313,{'GOOGL': 39},{'GOOGL': 59.93524471028645}
2020-03-25,97532.91068675235,99777.768604538,{'GOOGL': 41},{'GOOGL': 59.68510520116293}
2020-03-26,97416.1963789368,99901.56862472538,{'GOOGL': 43},{'GOOGL': 59.60008421077284}
2020-03-27,97359.95914427188,99787.96945921329,{'GOOGL': 44},{'GOOGL': 59.500928539276124}
2020-03-30,97301.92835835651,99865.74990300373,{'GOOGL': 45},{'GOOGL': 59.44603648096721}
2020-04-09,97360.83723487858,99999.46643104557,{'GOOGL': 44},{'GOOGL': 59.44603648096721}
2020-04-13,97419.93677366641,100006.80380857852,{'GOOGL': 43},{'GOOGL': 59.44603648096721}
