date,balance,total_value,positions,avg_prices
2020-02-26,99673.50558026123,99998.67483074951,{'MSFT': 2},{'MSFT': 162.74720986938476}
2020-02-27,99218.6649707489,99974.3103412323,{'MSFT': 5},{'MSFT': 155.86700585021973}
2020-02-28,98752.8356155243,99991.1422561493,{'MSFT': 8},{'MSFT': 155.5205480594635}
2020-03-02,98256.07690908814,100072.04286672974,{'MSFT': 11},{'MSFT': 158.1748264465332}
2020-03-03,97783.07460133362,99983.55156056213,{'MSFT': 14},{'MSFT': 157.99467133331297}
2020-03-04,97292.74267964173,100062.85345845032,{'MSFT': 17},{'MSFT': 158.89748943283976}
2020-03-05,96814.69072584534,99991.85991529847,{'MSFT': 20},{'MSFT': 158.91546370773312}
2020-03-06,96504.64602796937,99900.74160902406,{'MSFT': 22},{'MSFT': 158.51608963775632}
2020-03-09,96071.4961090851,99669.14778144838,{'MSFT': 25},{'MSFT': 156.78015563659665}
2020-03-10,95608.79393186953,99913.70933714297,{'MSFT': 28},{'MSFT': 156.4716452903747}
2020-03-11,95167.00786776736,99717.24695773318,{'MSFT': 31},{'MSFT': 155.5481332978279}
2020-03-12,94767.02534523013,99284.3099826813,{'MSFT': 34},{'MSFT': 153.55807808146753}
2020-03-13,94310.31977447512,99925.07372650149,{'MSFT': 37},{'MSFT': 153.42378987905136}
2020-03-16,93920.78075996402,99096.12560859683,{'MSFT': 40},{'MSFT': 151.63048100090023}
2020-03-17,93499.2507868195,99520.82549385075,{'MSFT': 43},{'MSFT': 150.83137705071024}
2020-03-18,93095.4233282166,99265.94050961308,{'MSFT': 46},{'MSFT': 149.751666777901}
2020-03-19,92684.96829223637,99366.0527954102,{'MSFT': 49},{'MSFT': 148.93942260742185}
2020-03-20,92289.89194660954,99113.72477131657,{'MSFT': 52},{'MSFT': 147.92515487289424}
2020-03-23,91898.74631610111,99044.27068438724,{'MSFT': 55},{'MSFT': 146.95006697998042}
2020-03-24,91472.13805807498,99692.34417379764,{'MSFT': 58},{'MSFT': 146.68727486077665}
2020-03-25,91049.60393847659,99612.2350725098,{'MSFT': 61},{'MSFT': 146.38354199218747}
2020-03-26,90750.00290136722,100146.53903417972,{'MSFT': 63},{'MSFT': 146.476144422743}
2020-03-27,90462.66273959354,99759.42123873904,{'MSFT': 65},{'MSFT': 146.3744193908691}
2020-03-31,90612.19209800723,100255.71455894473,{'MSFT': 64},{'MSFT': 146.3744193908691}
2020-04-01,90901.56070997623,99911.9981184235,{'MSFT': 62},{'MSFT': 146.3744193908691}
2020-04-02,91196.9424983063,100097.29650221256,{'MSFT': 60},{'MSFT': 146.3744193908691}
2020-04-03,91489.59447523502,100014.02623793033,{'MSFT': 58},{'MSFT': 146.3744193908691}
2020-04-06,91804.08482142643,100646.65708705143,{'MSFT': 56},{'MSFT': 146.3744193908691}
2020-04-07,92115.17720179752,100550.10640101627,{'MSFT': 54},{'MSFT': 146.3744193908691}
2020-04-08,92587.01180099491,100633.24622177127,{'MSFT': 51},{'MSFT': 146.3744193908691}
2020-04-09,93058.87507327273,100632.26081546023,{'MSFT': 48},{'MSFT': 146.3744193908691}
2020-04-13,93531.79764895633,100647.75223880008,{'MSFT': 45},{'MSFT': 146.3744193908691}
2020-04-14,94028.17160330203,100998.37716970828,{'MSFT': 42},{'MSFT': 146.3744193908691}
2020-04-15,94519.33409951786,100923.8510672913,{'MSFT': 39},{'MSFT': 146.3744193908691}
2020-04-16,95025.27173805241,101114.61274147038,{'MSFT': 36},{'MSFT': 146.3744193908691}
2020-04-17,95535.67634069828,101166.75805151371,{'MSFT': 33},{'MSFT': 146.3744193908691}
2020-04-20,96035.94452923587,101053.64411419681,{'MSFT': 30},{'MSFT': 146.3744193908691}
2020-04-21,96515.4816690369,100844.64509066776,{'MSFT': 27},{'MSFT': 146.3744193908691}
2020-04-22,97011.34014816288,100990.18682785038,{'MSFT': 24},{'MSFT': 146.3744193908691}
2020-04-23,97337.57039065556,100940.70619387821,{'MSFT': 22},{'MSFT': 146.3744193908691}
2020-04-24,97669.77560922246,101005.16318246465,{'MSFT': 20},{'MSFT': 146.3744193908691}
2020-04-27,98001.02633889775,100994.27615579228,{'MSFT': 18},{'MSFT': 146.3744193908691}
2020-04-28,98324.18321130375,100920.03404138188,{'MSFT': 16},{'MSFT': 146.3744193908691}
2020-04-29,98661.88616149906,101035.18010681156,{'MSFT': 14},{'MSFT': 146.3744193908691}
2020-04-30,99002.98704702762,101057.64702017215,{'MSFT': 12},{'MSFT': 146.3744193908691}
2020-05-01,99168.60874121098,101003.28205053715,{'MSFT': 11},{'MSFT': 146.3744193908691}
2020-05-04,99338.30602186588,101046.98750990299,{'MSFT': 10},{'MSFT': 146.3744193908691}
2020-05-05,99682.36570710757,101063.9860684357,{'MSFT': 8},{'MSFT': 146.3744193908691}
2020-05-06,100029.82332768252,101076.24260868838,{'MSFT': 6},{'MSFT': 146.3744193908691}
2020-05-07,100379.30452690127,101080.96858940127,{'MSFT': 4},{'MSFT': 146.3744193908691}
2020-05-08,100730.8472611542,101083.742891037,{'MSFT': 2},{'MSFT': 146.3744193908691}
2020-05-11,101086.32249086001,101086.32249086001,{},{}
2020-07-28,100891.5764481354,101085.12893836977,{'MSFT': 1},{'MSFT': 193.74604272460937}
2020-07-29,100499.17151820376,101085.6923922272,{'MSFT': 3},{'MSFT': 195.05032421874998}
2020-07-30,100107.07347444155,101083.841815506,{'MSFT': 5},{'MSFT': 195.2498032836914}
2020-07-31,99909.45992779544,101087.96270489505,{'MSFT': 6},{'MSFT': 195.47709384409586}
2020-08-05,100112.27066828922,101132.34444453433,{'MSFT': 5},{'MSFT': 195.47709384409586}
2020-08-06,100525.41979478458,101147.2653300629,{'MSFT': 3},{'MSFT': 195.47709384409586}
2020-08-07,100931.1606875153,101134.73470790104,{'MSFT': 1},{'MSFT': 195.47709384409586}
2020-08-10,101129.48248272708,101129.48248272708,{},{}
2020-09-10,100733.61269613651,101128.0880074158,{'MSFT': 2},{'MSFT': 197.43489329528808}
2020-09-11,100340.31930538944,101124.12228390506,{'MSFT': 4},{'MSFT': 196.7907943344116}
2020-09-14,99746.89929116824,101127.83172525027,{'MSFT': 7},{'MSFT': 197.08331307983397}
2020-09-15,99143.75975878909,101148.88640673831,{'MSFT': 10},{'MSFT': 198.1722723937988}
2020-09-16,98551.37793687441,101111.4724040375,{'MSFT': 13},{'MSFT': 197.93111891174314}
2020-09-17,97965.16794529726,101083.16989842226,{'MSFT': 16},{'MSFT': 197.39465858936308}
2020-09-18,97386.22598719789,101042.868412735,{'MSFT': 19},{'MSFT': 196.64507871206183}
2020-09-21,96801.08323916627,101080.51729067994,{'MSFT': 22},{'MSFT': 196.38178379821775}
2020-09-22,96201.86621974183,101182.02788661195,{'MSFT': 25},{'MSFT': 196.74465051940916}
2020-09-23,95622.3474524994,101016.4618323822,{'MSFT': 28},{'MSFT': 196.3262510795593}
2020-09-24,95035.33007475281,101084.79351469422,{'MSFT': 31},{'MSFT': 196.23072283787877}
2020-09-25,94634.74955796814,101221.24159288025,{'MSFT': 33},{'MSFT': 196.4464522654215}
2020-09-28,94432.40191183472,101271.38289938355,{'MSFT': 34},{'MSFT': 196.59060502624507}
2020-09-29,94232.14995671083,101199.00153446961,{'MSFT': 35},{'MSFT': 196.66664360046383}
2020-10-01,94434.99283056642,101372.5881369629,{'MSFT': 34},{'MSFT': 196.66664360046383}
2020-10-02,94631.82005860902,101166.65341737367,{'MSFT': 33},{'MSFT': 196.66664360046383}
2020-10-05,94832.6673409424,101298.24595422365,{'MSFT': 32},{'MSFT': 196.66664360046383}
2020-10-06,95029.22587127687,101159.67075653077,{'MSFT': 31},{'MSFT': 196.66664360046383}
2020-10-07,95229.54545307923,101275.17854023744,{'MSFT': 30},{'MSFT': 196.66664360046383}
2020-10-09,95435.60250151063,101446.2675710907,{'MSFT': 29},{'MSFT': 196.66664360046383}
2020-10-12,95859.44307429505,101600.53189570618,{'MSFT': 27},{'MSFT': 196.66664360046383}
