date,balance,total_value,positions,avg_prices
2020-02-04,99896.41401888276,99998.89751650239,{'AMZN': 1},{'AMZN': 102.58598111724852}
2020-02-27,99989.53480022431,99989.53480022431,{},{}
2020-03-26,99890.66252774048,99988.43702572632,{'AMZN': 1},{'AMZN': 97.87227248382567}
2020-09-10,100048.25926541138,100048.25926541138,{},{}
2020-10-02,99890.85301541138,100047.10301541138,{'AMZN': 1},{'AMZN': 156.40624999999997}
2020-10-30,100041.50870303345,100041.50870303345,{},{}
2020-12-07,99882.45080914308,100040.35080303956,{'AMZN': 1},{'AMZN': 158.05789389038085}
2021-01-12,100037.33627154541,100037.33627154541,{},{}
2021-01-25,99871.47157460022,100036.17157154846,{'AMZN': 1},{'AMZN': 164.86469694519042}
2021-02-24,100028.2900995636,100028.2900995636,{},{}
2021-04-06,99865.93791430665,100027.12890856934,{'AMZN': 1},{'AMZN': 161.352185256958}
2021-05-07,100029.35383917237,100029.35383917237,{},{}
2021-06-11,99860.84499070741,100028.18649766542,{'AMZN': 1},{'AMZN': 167.5088484649658}
2021-07-30,100026.05811254884,100026.05811254884,{},{}
2021-08-31,99851.34506803895,100024.88457304383,{'AMZN': 1},{'AMZN': 173.71304450988768}
2021-09-23,100020.97427108766,100020.97427108766,{},{}
2021-10-19,99847.59455931092,100019.80206358338,{'AMZN': 1},{'AMZN': 172.3797117767334}
2021-12-02,100018.29068753052,100018.29068753052,{},{}
2022-02-09,99855.93999913025,100017.12949803162,{'AMZN': 1},{'AMZN': 161.35068840026852}
2022-02-25,100008.57470855713,100008.57470855713,{},{}
2022-03-18,99846.16295451355,100007.41345805359,{'AMZN': 1},{'AMZN': 161.4117540435791}
2022-04-11,99996.13382653809,99996.13382653809,{},{}
2022-06-01,99873.32814443207,99995.01214253998,{'AMZN': 1},{'AMZN': 121.80568210601805}
2022-06-14,99974.53583199311,99974.53583199311,{},{}
2022-07-08,99857.88029107667,99973.4202919922,{'AMZN': 1},{'AMZN': 115.65554091644286}
2022-08-24,99990.54649412537,99990.54649412537,{},{}
2022-10-25,99868.82589565277,99989.42589412689,{'AMZN': 1},{'AMZN': 120.7205984725952}
2022-10-31,99970.16345809173,99970.16345809173,{},{}
