date,balance,total_value,positions,avg_prices
2020-01-30,99834.20675505066,99998.83537138367,{'MSFT': 1},{'MSFT': 164.7932449493408}
2020-02-26,99995.62881091308,99995.62881091308,{},{}
2020-03-31,99843.79806187439,99994.47813084412,{'MSFT': 1},{'MSFT': 150.83074903869627}
2020-07-28,100036.1569386444,100036.1569386444,{},{}
2020-08-05,99830.93815336608,100034.95292387389,{'MSFT': 1},{'MSFT': 204.2187852783203}
2020-09-10,100026.97858659361,100026.97858659361,{},{}
2020-10-01,99821.72757307433,100025.77453962706,{'MSFT': 1},{'MSFT': 204.25101351928708}
2020-10-28,100015.18709370421,100015.18709370421,{},{}
2020-11-09,99804.235255661,100013.97735160826,{'MSFT': 1},{'MSFT': 209.95183804321286}
2021-01-11,100012.45045262144,100012.45045262144,{},{}
2021-01-25,99790.21132232665,100011.22943450927,{'MSFT': 1},{'MSFT': 221.2391302947998}
2021-02-24,100015.3570967865,100015.3570967865,{},{}
2021-03-17,99785.35302241516,100014.12832148743,{'MSFT': 1},{'MSFT': 229.00407437133788}
2021-05-04,100023.26435411072,100023.26435411072,{},{}
2021-05-27,99780.85008531189,100022.02318101501,{'MSFT': 1},{'MSFT': 241.4142687988281}
2021-09-23,100069.89751609802,100069.89751609802,{},{}
2021-10-14,99775.17449055481,100068.60408650208,{'MSFT': 1},{'MSFT': 293.7230255432129}
2021-12-01,100094.35755754089,100094.35755754089,{},{}
2021-12-28,99761.67681239318,100093.02620814514,{'MSFT': 1},{'MSFT': 331.68074514770507}
2022-01-06,100065.14562889098,100065.14562889098,{},{}
2022-02-03,99771.34313966369,100063.85311891173,{'MSFT': 1},{'MSFT': 292.80248922729487}
2022-02-16,100061.4637759552,100061.4637759552,{},{}
2022-03-21,99769.09145692443,100060.1726947174,{'MSFT': 1},{'MSFT': 291.3723190307617}
2022-04-11,100045.37051042175,100045.37051042175,{},{}
2022-06-01,99778.4241351471,100044.10482972718,{'MSFT': 1},{'MSFT': 265.9463752746582}
2022-06-13,100013.45471400452,100013.45471400452,{},{}
2022-06-30,99761.72787350464,100012.20423764038,{'MSFT': 1},{'MSFT': 250.7268404998779}
2022-07-15,100010.84664498901,100010.84664498901,{},{}
2022-07-28,99740.00499038697,100009.5770729065,{'MSFT': 1},{'MSFT': 269.84165460205077}
2022-08-25,100011.2613616333,100011.2613616333,{},{}
2022-10-24,99768.37449851989,100010.0197164154,{'MSFT': 1},{'MSFT': 241.88686311340328}
2022-11-01,99990.1492424774,99990.1492424774,{},{}
2022-11-14,99752.83875094603,99988.91316806029,{'MSFT': 1},{'MSFT': 236.31049153137204}
2022-12-21,99991.16155125426,99991.16155125426,{},{}
