date,balance,total_value,positions,avg_prices
2020-01-30,99956.23661053849,99998.95727933121,{'TSLA': 1},{'TSLA': 42.76338946151733}
2020-02-28,99999.72474312592,99999.72474312592,{},{}
2020-04-09,99960.48654236221,99998.68654312515,{'TSLA': 1},{'TSLA': 38.23820076370239}
2020-08-05,100058.38887617111,100058.38887617111,{},{}
2020-08-17,99934.89050072098,100057.26650017167,{'TSLA': 1},{'TSLA': 122.49837545013426}
2020-09-10,100057.54671950151,100057.54671950151,{},{}
2020-09-18,99909.01600487139,100056.39933617022,{'TSLA': 1},{'TSLA': 147.53071463012694}
2020-09-25,100043.66022365191,100043.66022365191,{},{}
2020-10-01,99893.1241640053,100042.51083697894,{'TSLA': 1},{'TSLA': 149.53605964660642}
2020-10-23,100032.19396071245,100032.19396071245,{},{}
2020-11-18,99868.81841424944,100031.03174737933,{'TSLA': 1},{'TSLA': 162.37554646301268}
2021-02-11,100138.10120563128,100138.10120563128,{},{}
2021-03-17,99902.93060820391,100136.86726897051,{'TSLA': 1},{'TSLA': 234.17059742736814}
2021-03-24,100111.81051454546,100111.81051454546,{},{}
2021-04-07,99886.93019589617,100110.58685788348,{'TSLA': 1},{'TSLA': 223.88031864929198}
2021-04-30,100122.17371162798,100122.17371162798,{},{}
2021-06-01,99912.99908542253,100120.96574496843,{'TSLA': 1},{'TSLA': 208.17462620544433}
2021-07-19,100127.19034074785,100127.19034074785,{},{}
2021-08-02,99889.39711293414,100125.95378407672,{'TSLA': 1},{'TSLA': 236.79322781372068}
2021-08-20,100114.92368602374,100114.92368602374,{},{}
2021-08-30,99870.04337637714,100113.68004935078,{'TSLA': 1},{'TSLA': 243.8803096466064}
2021-11-15,100206.50224109272,100206.50224109272,{},{}
2021-12-28,99842.31608401875,100205.13941775898,{'TSLA': 1},{'TSLA': 363.1861570739746}
2022-01-19,100172.86753198628,100172.86753198628,{},{}
2022-03-21,99864.50713391499,100171.56047864155,{'TSLA': 1},{'TSLA': 307.360398071289}
2022-04-13,100203.95635245137,100203.95635245137,{},{}
2022-06-02,99944.364675602,100202.69801910786,{'TSLA': 1},{'TSLA': 258.59167684936523}
2022-06-13,100158.88560275655,100158.88560275655,{},{}
2022-06-27,99912.72068458944,100157.64068275839,{'TSLA': 1},{'TSLA': 245.16491816711422}
2022-07-05,100144.5542835732,100144.5542835732,{},{}
2022-07-08,99892.54018405538,100143.30352023702,{'TSLA': 1},{'TSLA': 251.01409951782225}
2022-08-25,100187.31412137227,100187.31412137227,{},{}
2022-09-13,99893.89198648458,100186.0219913674,{'TSLA': 1},{'TSLA': 292.4221348876953}
2022-09-27,100175.54904892355,100175.54904892355,{},{}
2022-10-31,99946.78151564414,100174.32150893027,{'TSLA': 1},{'TSLA': 227.76753327941893}
2022-11-07,100142.66443747336,100142.66443747336,{},{}
2022-12-02,99946.60957686239,100141.46957747274,{'TSLA': 1},{'TSLA': 195.0548606109619}
2022-12-08,100118.87613930136,100118.87613930136,{},{}
